"","station","parameter","time","value","unit","qaqc_flag_id"
"1","FRK","pH",2021-01-01 00:00:00,7.64,"pH Units","G"
"2","FRK","pH",2021-01-01 00:15:00,7.63,"pH Units","G"
"3","FRK","pH",2021-01-01 00:30:00,7.63,"pH Units","G"
"4","FRK","pH",2021-01-01 00:45:00,7.63,"pH Units","G"
"5","FRK","pH",2021-01-01 01:00:00,7.63,"pH Units","G"
"6","FRK","pH",2021-01-01 01:15:00,7.62,"pH Units","G"
"7","FRK","pH",2021-01-01 01:30:00,7.62,"pH Units","G"
"8","FRK","pH",2021-01-01 01:45:00,7.62,"pH Units","G"
"9","FRK","pH",2021-01-01 02:00:00,7.62,"pH Units","G"
"10","FRK","pH",2021-01-01 02:15:00,7.61,"pH Units","G"
"11","FRK","pH",2021-01-01 02:30:00,7.61,"pH Units","G"
"12","FRK","pH",2021-01-01 02:45:00,7.62,"pH Units","G"
"13","FRK","pH",2021-01-01 03:00:00,7.62,"pH Units","G"
"14","FRK","pH",2021-01-01 03:15:00,7.63,"pH Units","G"
"15","FRK","pH",2021-01-01 03:30:00,7.63,"pH Units","G"
"16","FRK","pH",2021-01-01 03:45:00,7.64,"pH Units","G"
"17","FRK","pH",2021-01-01 04:00:00,7.64,"pH Units","G"
"18","FRK","pH",2021-01-01 04:15:00,7.64,"pH Units","G"
"19","FRK","pH",2021-01-01 04:30:00,7.64,"pH Units","G"
"20","FRK","pH",2021-01-01 04:45:00,7.64,"pH Units","G"
"21","FRK","pH",2021-01-01 05:00:00,7.64,"pH Units","G"
"22","FRK","pH",2021-01-01 05:15:00,7.64,"pH Units","G"
"23","FRK","pH",2021-01-01 05:30:00,7.63,"pH Units","G"
"24","FRK","pH",2021-01-01 05:45:00,7.64,"pH Units","G"
"25","FRK","pH",2021-01-01 06:00:00,7.64,"pH Units","G"
"26","FRK","pH",2021-01-01 06:15:00,7.64,"pH Units","G"
"27","FRK","pH",2021-01-01 06:30:00,7.63,"pH Units","G"
"28","FRK","pH",2021-01-01 06:45:00,7.63,"pH Units","G"
"29","FRK","pH",2021-01-01 07:00:00,7.63,"pH Units","G"
"30","FRK","pH",2021-01-01 07:15:00,7.64,"pH Units","G"
"31","FRK","pH",2021-01-01 07:30:00,7.64,"pH Units","G"
"32","FRK","pH",2021-01-01 07:45:00,7.63,"pH Units","G"
"33","FRK","pH",2021-01-01 08:00:00,7.63,"pH Units","G"
"34","FRK","pH",2021-01-01 08:15:00,7.64,"pH Units","G"
"35","FRK","pH",2021-01-01 08:30:00,7.64,"pH Units","G"
"36","FRK","pH",2021-01-01 08:45:00,7.64,"pH Units","G"
"37","FRK","pH",2021-01-01 09:00:00,7.64,"pH Units","G"
"38","FRK","pH",2021-01-01 09:15:00,7.64,"pH Units","G"
"39","FRK","pH",2021-01-01 09:30:00,7.63,"pH Units","G"
"40","FRK","pH",2021-01-01 09:45:00,7.63,"pH Units","G"
"41","FRK","pH",2021-01-01 10:00:00,7.63,"pH Units","G"
"42","FRK","pH",2021-01-01 10:15:00,7.62,"pH Units","G"
"43","FRK","pH",2021-01-01 10:30:00,7.6,"pH Units","G"
"44","FRK","pH",2021-01-01 10:45:00,7.6,"pH Units","G"
"45","FRK","pH",2021-01-01 11:00:00,7.6,"pH Units","G"
"46","FRK","pH",2021-01-01 11:15:00,7.59,"pH Units","G"
"47","FRK","pH",2021-01-01 11:30:00,7.6,"pH Units","G"
"48","FRK","pH",2021-01-01 11:45:00,7.6,"pH Units","G"
"49","FRK","pH",2021-01-01 12:00:00,7.6,"pH Units","G"
"50","FRK","pH",2021-01-01 12:15:00,7.6,"pH Units","G"
"51","FRK","pH",2021-01-01 12:30:00,7.61,"pH Units","G"
"52","FRK","pH",2021-01-01 12:45:00,7.61,"pH Units","G"
"53","FRK","pH",2021-01-01 13:00:00,7.61,"pH Units","G"
"54","FRK","pH",2021-01-01 13:15:00,7.62,"pH Units","G"
"55","FRK","pH",2021-01-01 13:30:00,7.63,"pH Units","G"
"56","FRK","pH",2021-01-01 13:45:00,7.64,"pH Units","G"
"57","FRK","pH",2021-01-01 14:00:00,7.64,"pH Units","G"
"58","FRK","pH",2021-01-01 14:15:00,7.65,"pH Units","G"
"59","FRK","pH",2021-01-01 14:30:00,7.65,"pH Units","G"
"60","FRK","pH",2021-01-01 14:45:00,7.64,"pH Units","G"
"61","FRK","pH",2021-01-01 15:00:00,7.65,"pH Units","G"
"62","FRK","pH",2021-01-01 15:15:00,7.66,"pH Units","G"
"63","FRK","pH",2021-01-01 15:30:00,7.65,"pH Units","G"
"64","FRK","pH",2021-01-01 15:45:00,7.65,"pH Units","G"
"65","FRK","pH",2021-01-01 16:00:00,7.65,"pH Units","G"
"66","FRK","pH",2021-01-01 16:15:00,7.65,"pH Units","G"
"67","FRK","pH",2021-01-01 16:30:00,7.66,"pH Units","G"
"68","FRK","pH",2021-01-01 16:45:00,7.67,"pH Units","G"
"69","FRK","pH",2021-01-01 17:00:00,7.68,"pH Units","G"
"70","FRK","pH",2021-01-01 17:15:00,7.68,"pH Units","G"
"71","FRK","pH",2021-01-01 17:30:00,7.68,"pH Units","G"
"72","FRK","pH",2021-01-01 17:45:00,7.68,"pH Units","G"
"73","FRK","pH",2021-01-01 18:00:00,7.67,"pH Units","G"
"74","FRK","pH",2021-01-01 18:15:00,7.68,"pH Units","G"
"75","FRK","pH",2021-01-01 18:30:00,7.68,"pH Units","G"
"76","FRK","pH",2021-01-01 18:45:00,7.67,"pH Units","G"
"77","FRK","pH",2021-01-01 19:00:00,7.66,"pH Units","G"
"78","FRK","pH",2021-01-01 19:15:00,7.66,"pH Units","G"
"79","FRK","pH",2021-01-01 19:30:00,7.64,"pH Units","G"
"80","FRK","pH",2021-01-01 19:45:00,7.63,"pH Units","G"
"81","FRK","pH",2021-01-01 20:00:00,7.62,"pH Units","G"
"82","FRK","pH",2021-01-01 20:15:00,7.62,"pH Units","G"
"83","FRK","pH",2021-01-01 20:30:00,7.61,"pH Units","G"
"84","FRK","pH",2021-01-01 20:45:00,7.61,"pH Units","G"
"85","FRK","pH",2021-01-01 21:00:00,7.61,"pH Units","G"
"86","FRK","pH",2021-01-01 21:15:00,7.6,"pH Units","G"
"87","FRK","pH",2021-01-01 21:30:00,7.61,"pH Units","G"
"88","FRK","pH",2021-01-01 21:45:00,7.6,"pH Units","G"
"89","FRK","pH",2021-01-01 22:00:00,7.6,"pH Units","G"
"90","FRK","pH",2021-01-01 22:15:00,7.59,"pH Units","G"
"91","FRK","pH",2021-01-01 22:30:00,7.61,"pH Units","G"
"92","FRK","pH",2021-01-01 22:45:00,7.61,"pH Units","G"
"93","FRK","pH",2021-01-01 23:00:00,7.6,"pH Units","G"
"94","FRK","pH",2021-01-01 23:15:00,7.6,"pH Units","G"
"95","FRK","pH",2021-01-01 23:30:00,7.6,"pH Units","G"
"96","FRK","pH",2021-01-01 23:45:00,7.6,"pH Units","G"
"97","FRK","pH",2021-01-02 00:00:00,7.6,"pH Units","G"
"98","FRK","pH",2021-01-02 00:15:00,7.6,"pH Units","G"
"99","FRK","pH",2021-01-02 00:30:00,7.59,"pH Units","G"
"100","FRK","pH",2021-01-02 00:45:00,7.59,"pH Units","G"
"101","FRK","pH",2021-01-02 01:00:00,7.57,"pH Units","G"
"102","FRK","pH",2021-01-02 01:15:00,7.57,"pH Units","G"
"103","FRK","pH",2021-01-02 01:30:00,7.57,"pH Units","G"
"104","FRK","pH",2021-01-02 01:45:00,7.57,"pH Units","G"
"105","FRK","pH",2021-01-02 02:00:00,7.57,"pH Units","G"
"106","FRK","pH",2021-01-02 02:15:00,7.57,"pH Units","G"
"107","FRK","pH",2021-01-02 02:30:00,7.57,"pH Units","G"
"108","FRK","pH",2021-01-02 02:45:00,7.56,"pH Units","G"
"109","FRK","pH",2021-01-02 03:00:00,7.56,"pH Units","G"
"110","FRK","pH",2021-01-02 03:15:00,7.55,"pH Units","G"
"111","FRK","pH",2021-01-02 03:30:00,7.56,"pH Units","G"
"112","FRK","pH",2021-01-02 03:45:00,7.56,"pH Units","G"
"113","FRK","pH",2021-01-02 04:00:00,7.57,"pH Units","G"
"114","FRK","pH",2021-01-02 04:15:00,7.59,"pH Units","G"
"115","FRK","pH",2021-01-02 04:30:00,7.59,"pH Units","G"
"116","FRK","pH",2021-01-02 04:45:00,7.59,"pH Units","G"
"117","FRK","pH",2021-01-02 05:00:00,7.59,"pH Units","G"
"118","FRK","pH",2021-01-02 05:15:00,7.6,"pH Units","G"
"119","FRK","pH",2021-01-02 05:30:00,7.58,"pH Units","G"
"120","FRK","pH",2021-01-02 05:45:00,7.59,"pH Units","G"
"121","FRK","pH",2021-01-02 06:00:00,7.6,"pH Units","G"
"122","FRK","pH",2021-01-02 06:15:00,7.6,"pH Units","G"
"123","FRK","pH",2021-01-02 06:30:00,7.6,"pH Units","G"
"124","FRK","pH",2021-01-02 06:45:00,7.59,"pH Units","G"
"125","FRK","pH",2021-01-02 07:00:00,7.6,"pH Units","G"
"126","FRK","pH",2021-01-02 07:15:00,7.6,"pH Units","G"
"127","FRK","pH",2021-01-02 07:30:00,7.6,"pH Units","G"
"128","FRK","pH",2021-01-02 07:45:00,7.6,"pH Units","G"
"129","FRK","pH",2021-01-02 08:00:00,7.59,"pH Units","G"
"130","FRK","pH",2021-01-02 08:15:00,7.6,"pH Units","G"
"131","FRK","pH",2021-01-02 08:30:00,7.6,"pH Units","G"
"132","FRK","pH",2021-01-02 08:45:00,7.6,"pH Units","G"
"133","FRK","pH",2021-01-02 09:00:00,7.6,"pH Units","G"
"134","FRK","pH",2021-01-02 09:15:00,7.6,"pH Units","G"
"135","FRK","pH",2021-01-02 09:30:00,7.59,"pH Units","G"
"136","FRK","pH",2021-01-02 09:45:00,7.59,"pH Units","G"
"137","FRK","pH",2021-01-02 10:00:00,7.59,"pH Units","G"
"138","FRK","pH",2021-01-02 10:15:00,7.59,"pH Units","G"
"139","FRK","pH",2021-01-02 10:30:00,7.58,"pH Units","G"
"140","FRK","pH",2021-01-02 10:45:00,7.58,"pH Units","G"
"141","FRK","pH",2021-01-02 11:00:00,7.57,"pH Units","G"
"142","FRK","pH",2021-01-02 11:15:00,7.57,"pH Units","G"
"143","FRK","pH",2021-01-02 11:30:00,7.58,"pH Units","G"
"144","FRK","pH",2021-01-02 11:45:00,7.58,"pH Units","G"
"145","FRK","pH",2021-01-02 12:00:00,7.56,"pH Units","G"
"146","FRK","pH",2021-01-02 12:15:00,7.58,"pH Units","G"
"147","FRK","pH",2021-01-02 12:30:00,7.58,"pH Units","G"
"148","FRK","pH",2021-01-02 12:45:00,7.58,"pH Units","G"
"149","FRK","pH",2021-01-02 13:00:00,7.58,"pH Units","G"
"150","FRK","pH",2021-01-02 13:15:00,7.57,"pH Units","G"
"151","FRK","pH",2021-01-02 13:30:00,7.58,"pH Units","G"
"152","FRK","pH",2021-01-02 13:45:00,7.58,"pH Units","G"
"153","FRK","pH",2021-01-02 14:00:00,7.58,"pH Units","G"
"154","FRK","pH",2021-01-02 14:15:00,7.59,"pH Units","G"
"155","FRK","pH",2021-01-02 14:30:00,7.58,"pH Units","G"
"156","FRK","pH",2021-01-02 14:45:00,7.6,"pH Units","G"
"157","FRK","pH",2021-01-02 15:00:00,7.6,"pH Units","G"
"158","FRK","pH",2021-01-02 15:15:00,7.6,"pH Units","G"
"159","FRK","pH",2021-01-02 15:30:00,7.6,"pH Units","G"
"160","FRK","pH",2021-01-02 15:45:00,7.61,"pH Units","G"
"161","FRK","pH",2021-01-02 16:00:00,7.61,"pH Units","G"
"162","FRK","pH",2021-01-02 16:15:00,7.61,"pH Units","G"
"163","FRK","pH",2021-01-02 16:30:00,7.62,"pH Units","G"
"164","FRK","pH",2021-01-02 16:45:00,7.62,"pH Units","G"
