Site,Year,Month,Analyte,Monthly.Mean,Monthly.Max,Monthly.Min
FAL,2015,Jan,Chl.a,3.884415322580645,8.97,2.75
FAL,2015,Jan,DO.Conc,9.640635080645161,10.42,8.98
FAL,2015,Jan,SpCond,470.2190860215054,2070,282
FAL,2015,Jan,Temp,9.555006720430107,11.4,8.4
FAL,2015,Jan,Turb,20.59727731092437,56.7,9
FAL,2015,Feb,Chl.a,4.8184821428571425,8.51,2.57
FAL,2015,Feb,DO.Conc,9.119665178571429,9.7,7.29
FAL,2015,Feb,SpCond,584.219494047619,1930,341
FAL,2015,Feb,Temp,13.026302083333333,14.5,11
FAL,2015,Feb,Turb,19.608199776369734,59.3,5.8
FAL,2015,Mar,Chl.a,7.639889075630252,25.09,3.58
FAL,2015,Mar,DO.Conc,9.747078991596638,13.53,8.95
FAL,2015,Mar,SpCond,509.96268907563024,1070,349
FAL,2015,Mar,Temp,16.14944537815126,19,13.5
FAL,2015,Mar,Turb,13.723208879919273,41.5,7.1
FAL,2015,Apr,Chl.a,12.257119779353822,52.81,2.45
FAL,2015,Apr,DO.Conc,9.788038194444445,12.85,7.22
FAL,2015,Apr,SpCond,884.0763888888889,2960,466
FAL,2015,Apr,Temp,17.448055555555555,20.2,15.9
FAL,2015,Apr,Turb,18.2818276580959,45.3,6.5
FAL,2015,May,Chl.a,4.244751344086022,10.38,2.09
FAL,2015,May,DO.Conc,8.250157930107527,9.01,7.13
FAL,2015,May,SpCond,1461.1922043010752,3980,856
FAL,2015,May,Temp,19.268111559139786,20.4,18.3
FAL,2015,May,Turb,14.847226890756303,48.7,5.5
FAL,2015,Jun,Chl.a,2.9195972222222224,5.48,1.62
FAL,2015,Jun,DO.Conc,8.187166666666666,10.14,7.32
FAL,2015,Jun,SpCond,1154.7642361111111,1370,965
FAL,2015,Jun,Temp,21.91545138888889,24.6,19.2
FAL,2015,Jun,Turb,4.58061827023272,18.9,2.8
FAL,2015,Jul,Chl.a,2.333252688172043,8.75,0.42
FAL,2015,Jul,DO.Conc,8.088659274193548,9.81,5.39
FAL,2015,Jul,SpCond,1269.6639784946237,1510,1060
FAL,2015,Jul,Temp,23.030073924731184,25.6,21.6
FAL,2015,Jul,Turb,4.364367429340511,71.4,1.4
FAL,2015,Aug,Chl.a,1.9323655913978495,22.7,0.51
FAL,2015,Aug,DO.Conc,8.102395833333333,10.7,6.54
FAL,2015,Aug,SpCond,1197.297379032258,1370,962
FAL,2015,Aug,Temp,22.86118951612903,25.9,21.8
FAL,2015,Aug,Turb,3.3636577972381274,26.4,1.8
FAL,2015,Sep,Chl.a,2.3731180555555556,8.91,0.82
FAL,2015,Sep,DO.Conc,8.360899305555556,12.17,6.22
FAL,2015,Sep,SpCond,1340.232638888889,2110,1020
FAL,2015,Sep,Temp,22.407534722222223,24.6,20.8
FAL,2015,Sep,Turb,2.4872569444444443,34.1,0.4
FAL,2015,Oct,Chl.a,2.964556451612903,9.2,1.62
FAL,2015,Oct,DO.Conc,8.252940188172044,8.82,7.23
FAL,2015,Oct,SpCond,1661.8316532258063,4070,730
FAL,2015,Oct,Temp,20.449462365591398,21.6,18.7
FAL,2015,Oct,Turb,8.144422043010753,47.3,2
FAL,2015,Nov,Chl.a,4.279146514935989,46.77,2.03
FAL,2015,Nov,DO.Conc,9.47873263888889,10.79,8.12
FAL,2015,Nov,SpCond,1935.9805555555556,6410,649
FAL,2015,Nov,Temp,14.7296875,19.1,10.5
FAL,2015,Nov,Turb,8.515769364362626,31,2
FAL,2015,Dec,Chl.a,7.051770691994572,46.02,2.47
FAL,2015,Dec,DO.Conc,10.725789650537635,11.06,10.16
FAL,2015,Dec,SpCond,1601.5023521505377,5490,604
FAL,2015,Dec,Temp,10.011760752688172,11.3,8.2
FAL,2015,Dec,Turb,14.09636974789916,45.3,4.7
FAL,2016,Jan,Chl.a,3.8528897849462367,6.59,2.23
FAL,2016,Jan,DO.Conc,10.038440860215054,10.78,8.87
FAL,2016,Jan,SpCond,792.9059139784946,3750,266
FAL,2016,Jan,Temp,9.553729838709678,11.7,7.9
FAL,2016,Jan,Turb,24.127294117647057,55.3,8.7
FAL,2016,Feb,Chl.a,5.189220545977012,10.2,3.71
FAL,2016,Feb,DO.Conc,9.46517959770115,10.32,8.64
FAL,2016,Feb,SpCond,272.42456896551727,394,237
FAL,2016,Feb,Temp,12.345114942528735,15.2,10.1
FAL,2016,Feb,Turb,20.213695183321352,54.2,7.5
FAL,2016,Mar,Chl.a,3.7640806722689075,7.54,1.66
FAL,2016,Mar,DO.Conc,9.207304201680673,9.8,8.56
FAL,2016,Mar,SpCond,213.39159663865547,368,146
FAL,2016,Mar,Temp,14.550991596638655,16.2,12.6
FAL,2016,Mar,Turb,15.909563025210083,58.5,6.1
FAL,2016,Apr,Chl.a,3.2249444444444446,18.27,1.85
FAL,2016,Apr,DO.Conc,9.35225,10.06,8.84
FAL,2016,Apr,SpCond,193.315625,235,155
FAL,2016,Apr,Temp,17.60934027777778,19.4,15
FAL,2016,Apr,Turb,7.8700173611111115,30.51,-0.24
FAL,2016,May,Chl.a,11.28981138430448,63.13,1.46
FAL,2016,May,DO.Conc,9.384571428571428,12.82,7.92
FAL,2016,May,SpCond,235.27899159663866,300,200
FAL,2016,May,Temp,19.38141176470588,22.6,17.6
FAL,2016,May,Turb,12.996943510423671,42.31,5.77
FAL,2016,Jun,Chl.a,2.3020243055555554,8.92,1.33
FAL,2016,Jun,DO.Conc,8.363739583333333,9.12,7.86
FAL,2016,Jun,SpCond,340.0920138888889,959,206
FAL,2016,Jun,Temp,21.98892361111111,24,20.3
FAL,2016,Jun,Turb,11.27865625,30.34,4.8
FAL,2016,Jul,Chl.a,1.8725268817204301,3.67,0.99
FAL,2016,Jul,DO.Conc,8.222167338709678,9.15,7.49
FAL,2016,Jul,SpCond,607.7479838709677,1570,329
FAL,2016,Jul,Temp,22.924092741935485,24.7,21.7
FAL,2016,Jul,Turb,8.827112605042016,47.95,3.05
FAL,2016,Aug,Chl.a,1.3165288978494625,15.76,0.62
FAL,2016,Aug,DO.Conc,8.399180107526881,9.48,7.74
FAL,2016,Aug,SpCond,736.8400537634409,1680,429
FAL,2016,Aug,Temp,21.75853494623656,23.6,19.8
FAL,2016,Aug,Turb,8.414584873949579,19.96,3.43
FAL,2016,Sep,Chl.a,1.1971458333333334,1.86,0.65
FAL,2016,Sep,DO.Conc,8.363625,9.25,7.61
FAL,2016,Sep,SpCond,1275.0868055555557,2520,754
FAL,2016,Sep,Temp,20.756527777777777,22,19.7
FAL,2016,Sep,Turb,8.130986453629733,55.09,1.88
FAL,2016,Oct,Chl.a,1.5167002688172042,24.61,0.8
FAL,2016,Oct,DO.Conc,8.69335685483871,9.55,7.92
FAL,2016,Oct,SpCond,1473.790994623656,3990,655
FAL,2016,Oct,Temp,18.32936827956989,20.2,17.5
FAL,2016,Oct,Turb,5.741394957983193,48.54,1.24
FAL,2016,Nov,Chl.a,1.7458958333333334,3.78,1.09
FAL,2016,Nov,DO.Conc,8.80348263888889,9.75,8.17
FAL,2016,Nov,SpCond,1554.1475694444443,4000,755
FAL,2016,Nov,Temp,16.11951388888889,17.9,12.6
FAL,2016,Nov,Turb,5.655395833333333,35.35,0.84
FAL,2016,Dec,Chl.a,1.6758198924731182,3.99,0.96
FAL,2016,Dec,DO.Conc,9.983995295698925,10.48,9.35
FAL,2016,Dec,SpCond,890.2278225806451,2490,160
FAL,2016,Dec,Temp,10.193850806451612,12.8,8.3
FAL,2016,Dec,Turb,15.147795698924732,58.99,3.2
FAL,2017,Jan,Chl.a,1.7819388440860215,3.3,0.98
FAL,2017,Jan,DO.Conc,9.906800681431005,10.92,8.62
FAL,2017,Jan,SpCond,171.61458333333334,238,99
FAL,2017,Jan,Temp,9.267002688172044,10.5,8.1
FAL,2017,Jan,Turb,38.40564705882353,155.12,13.27
FAL,2017,Feb,Chl.a,2.0083556547619046,3.26,1.32
FAL,2017,Feb,DO.Conc,9.475014880952381,10.67,8.08
FAL,2017,Feb,SpCond,179.09486607142858,290,87
FAL,2017,Feb,Temp,11.400223214285715,13.1,9.4
FAL,2017,Feb,Turb,27.478236607142858,133.62,12.09
FAL,2017,Mar,Chl.a,1.583296370967742,3.09,1.06
FAL,2017,Mar,DO.Conc,9.338077956989247,9.89,8.62
FAL,2017,Mar,SpCond,174.2543682795699,226,124
FAL,2017,Mar,Temp,13.97086693548387,16.7,11
FAL,2017,Mar,Turb,11.953565188172043,40.08,4.08
FAL,2017,Apr,Chl.a,1.6222716220910038,3.53,1.15
FAL,2017,Apr,DO.Conc,9.57345138888889,10.48,8.99
FAL,2017,Apr,SpCond,144.646875,186,103
FAL,2017,Apr,Temp,15.385520833333333,17.8,14
FAL,2017,Apr,Turb,8.085503472222221,33.24,3.2
FAL,2017,May,Chl.a,1.4389751344086021,3.05,0.8
FAL,2017,May,DO.Conc,9.122788978494624,10.29,8.56
FAL,2017,May,SpCond,117.09106182795699,141,96
FAL,2017,May,Temp,18.70084005376344,21.3,15.9
FAL,2017,May,Turb,6.233471102150538,14.62,3.58
FAL,2017,Jun,Chl.a,1.4416527777777777,18.38,0.72
FAL,2017,Jun,DO.Conc,8.685336805555556,9.85,7.79
FAL,2017,Jun,SpCond,115.7,130,108
FAL,2017,Jun,Temp,21.462083333333332,24.5,18.9
FAL,2017,Jun,Turb,5.832895833333334,14.54,2.76
FAL,2017,Jul,Chl.a,7.171347446236559,42.53,1.25
FAL,2017,Jul,DO.Conc,8.5834811827957,10.64,6.9
FAL,2017,Jul,SpCond,142.79435483870967,442,105
FAL,2017,Jul,Temp,23.75739247311828,25.3,22.3
FAL,2017,Jul,Turb,8.320215053763441,14.27,3.59
FAL,2017,Aug,Chl.a,2.367835294117647,4.77,0.94
FAL,2017,Aug,DO.Conc,8.056095430107527,8.67,6.95
FAL,2017,Aug,SpCond,261.0241935483871,514,166
FAL,2017,Aug,Temp,22.94774865591398,24.2,21.4
FAL,2017,Aug,Turb,4.388891129032258,11.71,-1.16
FAL,2017,Sep,Chl.a,1.9172951388888888,3.97,0.99
FAL,2017,Sep,DO.Conc,8.313725694444445,9.36,7.15
FAL,2017,Sep,SpCond,190.83125,309,157
FAL,2017,Sep,Temp,22.184756944444445,24.8,19.7
FAL,2017,Sep,Turb,2.46115625,6.12,-1.56
FAL,2017,Oct,Chl.a,1.662652100840336,4.45,0.93
FAL,2017,Oct,DO.Conc,9.30194556451613,10.16,8.47
FAL,2017,Oct,SpCond,175.33434139784947,285,137
FAL,2017,Oct,Temp,17.680443548387096,20.2,16.2
FAL,2017,Oct,Turb,3.5796673387096773,14.36,1.29
FAL,2017,Nov,Chl.a,1.9343611111111112,4.77,1.06
FAL,2017,Nov,DO.Conc,9.1619375,9.87,8.52
FAL,2017,Nov,SpCond,288.57604166666664,998,165
FAL,2017,Nov,Temp,15.355208333333334,17.4,13.7
FAL,2017,Nov,Turb,3.2522083333333334,7.91,1.15
FAL,2017,Dec,Chl.a,1.9742439516129033,5.3,0.96
FAL,2017,Dec,DO.Conc,10.2330813172043,10.83,9.16
FAL,2017,Dec,SpCond,893.3921370967741,2300,370
FAL,2017,Dec,Temp,10.611760752688172,14,9
FAL,2017,Dec,Turb,7.1165087365591395,42.96,1.81
FAL,2018,Jan,Chl.a,2.4913239247311827,3.83,1.46
FAL,2018,Jan,DO.Conc,9.91167002688172,10.57,9.04
FAL,2018,Jan,SpCond,661.6599462365591,2270,333
FAL,2018,Jan,Temp,10.421001344086022,11.3,9.2
FAL,2018,Jan,Turb,5.461008064516129,10,3.46
FAL,2018,Feb,Chl.a,2.6678497023809524,3.94,1.87
FAL,2018,Feb,DO.Conc,10.174449404761905,11.1,9.53
FAL,2018,Feb,SpCond,310.7377232142857,415,267
FAL,2018,Feb,Temp,11.648846726190476,13.5,10.2
